method,n,accuracy,c2w_risk_n,c2w_flip_count,c2w_flip_rate,both_wrong_n,w2c_count,w2c_recovery_rate,preservation_rate,candidate_oracle_possible,oracle_gap,mean_method_tokens,mean_method_duration_seconds
single_A,240,0.3541666666666667,121,36,0.2975206611570248,119,0,0.0,0.7024793388429752,0.8166666666666667,0.4624999999999999,494.3375,7.901798059966667
single_B,240,0.3583333333333333,121,35,0.2892561983471074,119,0,0.0,0.7107438016528925,0.8166666666666667,0.4583333333333333,490.9791666666667,7.886122091033333
stateless_debate,240,0.7208333333333333,121,11,0.0909090909090909,119,63,0.5294117647058824,0.9090909090909092,0.8166666666666667,0.0958333333333333,4084.633333333333,38.73896394560417
4cand_majority,240,0.6833333333333333,121,4,0.0330578512396694,119,47,0.3949579831932773,0.9669421487603306,0.8166666666666667,0.1333333333333333,4084.633333333333,38.73896394560417
pac_math_pair_topic_stage,240,0.7666666666666667,121,2,0.0165289256198347,119,65,0.5462184873949579,0.9834710743801652,0.8166666666666667,0.0499999999999999,4084.633333333333,38.73896394560417
pac_math_adaptive_learned,240,0.7541666666666667,121,9,0.0743801652892562,119,69,0.5798319327731093,0.9256198347107438,0.8166666666666667,0.0625,4084.633333333333,38.73896394560417
pac_math_router_safety,240,0.7458333333333333,121,6,0.0495867768595041,119,64,0.5378151260504201,0.950413223140496,0.8166666666666667,0.0708333333333333,4084.633333333333,38.73896394560417
oracle_candidate,240,0.8166666666666667,121,0,0.0,119,75,0.6302521008403361,1.0,0.8166666666666667,0.0,4084.633333333333,38.73896394560417
