method,n,accuracy,c2w_risk_n,c2w_flip_count,c2w_flip_rate,both_wrong_n,w2c_count,w2c_recovery_rate,preservation_rate,candidate_oracle_possible,oracle_gap,mean_method_tokens,mean_method_duration_seconds
single_A,1000,0.308,431,123,0.2853828306264501,569,0,0.0,0.7146171693735499,0.744,0.436,500.087,8.066075016811
single_B,1000,0.305,431,126,0.2923433874709977,569,0,0.0,0.7076566125290024,0.744,0.439,497.397,8.010424019444
stateless_debate,1000,0.674,431,27,0.062645011600928,569,270,0.4745166959578207,0.937354988399072,0.744,0.0699999999999999,4146.889,40.708778853636005
4cand_majority,1000,0.614,431,17,0.0394431554524361,569,200,0.351493848857645,0.9605568445475638,0.744,0.13,4146.889,40.708778853636005
pac_math_pair_topic_stage,1000,0.696,431,14,0.0324825986078886,569,279,0.4903339191564148,0.9675174013921114,0.744,0.048,4146.889,40.708778853636005
pac_math_adaptive_learned,1000,0.702,431,30,0.0696055684454756,569,301,0.5289982425307557,0.9303944315545244,0.744,0.042,4146.889,40.708778853636005
pac_math_router_safety,1000,0.683,431,14,0.0324825986078886,569,266,0.4674868189806678,0.9675174013921114,0.744,0.0609999999999999,4146.889,40.708778853636005
oracle_candidate,1000,0.744,431,0,0.0,569,313,0.5500878734622144,1.0,0.744,0.0,4146.889,40.708778853636005
