segment,method,n,accuracy,c2w_risk_n,c2w_count,c2w_rate,both_wrong_n,w2c_count,w2c_rate,oracle_possible
after_120,oracle_candidate,760,0.7223684210526315,311,0,0.0,449,238,0.5300668151447662,0.7223684210526315
after_120,overall_reliability,760,0.6631578947368421,311,17,0.05466237942122187,449,210,0.46770601336302897,0.7223684210526315
after_120,pac_math_accuracy_first,760,0.6763157894736842,311,13,0.04180064308681672,449,216,0.48106904231625836,0.7223684210526315
after_120,pac_math_adaptive_accuracy,760,0.6881578947368421,311,19,0.06109324758842444,449,231,0.5144766146993318,0.7223684210526315
after_120,pac_math_adaptive_learned,760,0.6881578947368421,311,19,0.06109324758842444,449,231,0.5144766146993318,0.7223684210526315
after_120,pac_math_adaptive_safety,760,0.6881578947368421,311,19,0.06109324758842444,449,231,0.5144766146993318,0.7223684210526315
after_120,pac_math_anchor_gate,760,0.39210526315789473,311,13,0.04180064308681672,449,0,0.0,0.7223684210526315
after_120,pac_math_cross_agent_anchor_gate,760,0.5921052631578947,311,14,0.04501607717041801,449,153,0.34075723830734966,0.7223684210526315
after_120,pac_math_cross_stage_support,760,0.39342105263157895,311,12,0.03858520900321544,449,0,0.0,0.7223684210526315
after_120,pac_math_independent_only,760,0.36973684210526314,311,30,0.09646302250803858,449,0,0.0,0.7223684210526315
after_120,pac_math_pair_topic_stage,760,0.6802631578947368,311,13,0.04180064308681672,449,219,0.48775055679287305,0.7223684210526315
after_120,pac_math_pair_topic_stage_guard,760,0.6802631578947368,311,13,0.04180064308681672,449,219,0.48775055679287305,0.7223684210526315
after_120,pac_math_pair_topic_stage_support_sum,760,0.6434210526315789,311,13,0.04180064308681672,449,191,0.42538975501113585,0.7223684210526315
after_120,pac_math_router_accuracy,760,0.6802631578947368,311,13,0.04180064308681672,449,219,0.48775055679287305,0.7223684210526315
after_120,pac_math_router_balanced,760,0.6802631578947368,311,13,0.04180064308681672,449,219,0.48775055679287305,0.7223684210526315
after_120,pac_math_router_safety,760,0.6657894736842105,311,13,0.04180064308681672,449,208,0.46325167037861914,0.7223684210526315
after_120,pac_math_safety_first,760,0.6684210526315789,311,13,0.04180064308681672,449,210,0.46770601336302897,0.7223684210526315
after_120,pac_math_stage_gate,760,0.6802631578947368,311,13,0.04180064308681672,449,219,0.48775055679287305,0.7223684210526315
after_120,pac_math_utility,760,0.675,311,13,0.04180064308681672,449,215,0.47884187082405344,0.7223684210526315
after_120,single_A,760,0.29078947368421054,311,90,0.28938906752411575,449,0,0.0,0.7223684210526315
after_120,single_B,760,0.29078947368421054,311,90,0.28938906752411575,449,0,0.0,0.7223684210526315
after_120,stateless_debate,760,0.6605263157894737,311,17,0.05466237942122187,449,208,0.46325167037861914,0.7223684210526315
