method,n,accuracy,c2w_risk_n,c2w_flip_count,c2w_flip_rate,both_wrong_n,w2c_count,w2c_recovery_rate,preservation_rate,candidate_oracle_possible,oracle_gap,mean_method_tokens,mean_method_duration_seconds
single_A,1000,0.228,338,110,0.3254437869822485,662,0,0.0,0.6745562130177515,0.515,0.287,350.824,15.615761177699998
single_B,1000,0.23,338,108,0.3195266272189349,662,0,0.0,0.6804733727810651,0.515,0.285,347.529,15.2472381718
stateless_debate,1000,0.386,338,75,0.2218934911242603,662,123,0.1858006042296072,0.7781065088757396,0.515,0.129,2825.073,74.9703744775
4cand_majority,1000,0.328,338,65,0.1923076923076923,662,55,0.0830815709969788,0.8076923076923077,0.515,0.187,2825.073,74.9703744775
pac_math_pair_topic_stage,1000,0.41,338,69,0.2041420118343195,662,141,0.2129909365558912,0.7958579881656804,0.515,0.105,2825.073,74.9703744775
pac_math_adaptive_learned,1000,0.423,338,70,0.2071005917159763,662,155,0.2341389728096676,0.7928994082840237,0.515,0.092,2825.073,74.9703744775
pac_math_router_safety,1000,0.382,338,57,0.1686390532544378,662,101,0.1525679758308157,0.8313609467455622,0.515,0.133,2825.073,74.9703744775
oracle_candidate,1000,0.515,338,0,0.0,662,177,0.2673716012084592,1.0,0.515,0.0,2825.073,74.9703744775
