method,n,accuracy,c2w_risk_n,c2w_flip_count,c2w_flip_rate,both_wrong_n,w2c_count,w2c_recovery_rate,preservation_rate,candidate_oracle_possible,oracle_gap,mean_method_tokens,mean_method_duration_seconds,mean_full_run_tokens,mean_full_run_wall_time_seconds
4cand_confidence,16,0.375,6,0,0.0,10,0,0.0,1.0,0.375,0.0,2244.9375,15.3214397375,2244.9375,30.23018103837967
4cand_majority,16,0.375,6,0,0.0,10,0,0.0,1.0,0.375,0.0,2244.9375,15.3214397375,2244.9375,30.23018103837967
agent_topic_reliability,16,0.375,6,0,0.0,10,0,0.0,1.0,0.375,0.0,2244.9375,15.3214397375,2244.9375,30.23018103837967
oracle_candidate,16,0.375,6,0,0.0,10,0,0.0,1.0,0.375,0.0,2244.9375,15.3214397375,2244.9375,30.23018103837967
overall_reliability,16,0.375,6,0,0.0,10,0,0.0,1.0,0.375,0.0,2244.9375,15.3214397375,2244.9375,30.23018103837967
pac_math_pair_topic_stage,16,0.375,6,0,0.0,10,0,0.0,1.0,0.375,0.0,2244.9375,15.3214397375,2244.9375,30.23018103837967
single_A,16,0.375,6,0,0.0,10,0,0.0,1.0,0.375,0.0,286.25,1.9553545937499999,2244.9375,30.23018103837967
single_B,16,0.1875,6,3,0.5,10,0,0.0,0.5,0.375,0.1875,302.875,3.02623164375,2244.9375,30.23018103837967
stateless_debate,16,0.375,6,0,0.0,10,0,0.0,1.0,0.375,0.0,2244.9375,15.3214397375,2244.9375,30.23018103837967
